timestamp,predicted_value,lower_limit_of_prediction,upper_limit_of_prediction,latency_ms,request_count,bandwidth_mbps,throughput_MBps,latency_explanation
2024-01-01 01:00:00,63.00494408399576,-23.606138957844195,151.92108818776995,44.96,1793.0,173.59,11.17,Normal latency
2024-01-01 01:05:00,61.1225736250942,-23.98652218830585,155.38685864330986,62.58,2631.0,200.0,15.5,Normal latency
2024-01-01 01:10:00,59.29909934096119,-24.433416320672624,154.14455274209806,56.44,2070.0,197.94,14.77,Normal latency
2024-01-01 01:15:00,57.532101126378585,-30.657377598744898,140.92388861252724,57.41,2017.0,196.26,17.71,Normal latency
2024-01-01 01:20:00,55.819288377895965,-21.271960209120643,145.39979503640652,57.39,2389.0,200.0,16.08,Normal latency
2024-01-01 01:25:00,54.1585451332407,-33.162377500773125,138.78283217557214,53.34,1667.0,176.19,17.22,Normal latency
2024-01-01 01:30:00,52.54797223649858,-33.48231703017009,132.3851515582026,56.17,2060.0,200.0,20.02,Normal latency
2024-01-01 01:35:00,50.98592617763526,-32.72721487163657,132.23450467360138,60.0,2469.0,169.78,15.71,Normal latency
2024-01-01 01:40:00,49.47105421130539,-33.836433657779885,134.20376108185636,60.65,2619.0,176.78,12.65,Normal latency
2024-01-01 01:45:00,48.00232547134104,-40.79632303618293,142.1422669010585,58.56,2921.0,106.19,12.27,Normal latency
2024-01-01 01:50:00,46.57905776186943,-41.68711857520682,132.17997769306086,63.88,3450.0,151.91,12.82,Normal latency
2024-01-01 01:55:00,45.2009398004296,-44.35622763214031,126.6442138645266,36.82,1416.0,195.93,23.63,Normal latency
2024-01-01 02:00:00,43.86804868859272,-44.29937959330122,139.2608995606877,54.92,1457.0,178.18,15.08,Normal latency
2024-01-01 02:05:00,42.580862475879215,-35.09001191774092,134.83961006133407,29.46,1386.0,200.0,21.93,Normal latency
2024-01-01 02:10:00,41.34026765997728,-45.62796324049045,127.36619535576556,53.99,2508.0,200.0,14.29,Normal latency
2024-01-01 02:15:00,40.14756157276065,-49.19470456961149,130.14653533111326,65.76,2574.0,188.25,9.85,Normal latency
2024-01-01 02:20:00,39.00444962139106,-44.83040718335614,121.20602711112156,51.53,1046.0,200.0,15.21,Normal latency
2024-01-01 02:25:00,37.9130373904807,-50.034373987371325,128.65238717578595,36.61,1515.0,200.0,17.56,Normal latency
2024-01-01 02:30:00,36.8758176709505,-47.89894372358325,128.96603647091905,40.23,2566.0,200.0,10.64,Normal latency
2024-01-01 02:35:00,35.89565253031376,-49.45891917134238,121.87821369096392,41.19,1738.0,200.0,8.12,Normal latency
2024-01-01 02:40:00,34.9757505563381,-47.18621791956608,129.60234765429405,40.89,1318.0,199.41,11.86,Normal latency
2024-01-01 02:45:00,34.119639491273496,-53.02267393566627,120.9800689237266,60.79,2662.0,187.95,6.45,Normal latency
2024-01-01 02:50:00,33.331134470317465,-54.8867007201319,123.82256204461868,66.2,3517.0,152.92,7.11,Normal latency
2024-01-01 02:55:00,32.614302151295455,-56.05237668813934,119.68038718230784,44.05,2352.0,157.12,5.32,Normal latency
2024-01-01 03:00:00,31.97342103962214,-56.46048761868965,121.05653216965835,59.74,2718.0,125.6,4.71,Normal latency
2024-01-01 03:05:00,31.412938358539925,-52.70736204109224,116.22039206392866,44.29,1877.0,200.0,14.24,Normal latency
2024-01-01 03:10:00,30.937423841045195,-58.900624067009744,118.35970790018284,49.44,2379.0,200.0,7.93,Normal latency
2024-01-01 03:15:00,30.55152084363877,-58.46262729272966,120.07830210618847,37.0,1694.0,200.0,12.39,Normal latency
2024-01-01 03:20:00,30.259895232819428,-58.31038350534098,114.5799358004934,35.19,1749.0,200.0,15.27,Normal latency
2024-01-01 03:25:00,30.06718246165822,-57.3930394065154,116.2953759411908,58.86,2036.0,200.0,7.6,Normal latency
